2013-08-16 14:52:36 | 172.16.8.3 | Login: itd log-in successfull.
2013-08-16 15:13:15 | 172.16.8.3 | Logout: itd logged out.
2013-08-16 15:13:20 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-16 15:49:06 | 172.16.8.17 | Login: rrls log-in successfull.
2013-08-16 15:54:16 | 172.16.8.17 | Login: purchasing log-in successfull.
2013-08-16 16:06:10 | 172.16.8.17 | Logout: purchasing logged out.
2013-08-16 16:08:33 | 172.16.8.10 | Logout: rrls logged out.
2013-08-16 16:08:36 | 172.16.8.17 | Logout: rrls logged out.
2013-08-16 16:08:39 | 172.16.8.10 | Login: itd log-in successfull.
2013-08-16 16:08:49 | 172.16.8.17 | Login: purchasing log-in successfull.
2013-08-16 16:09:00 | 172.16.8.10 | Logout: itd logged out.
2013-08-16 16:09:08 | 172.16.8.10 | Login: archie log-in successfull.
2013-08-16 16:09:47 | 172.16.8.10 | Login: archie log-in successfull.
2013-08-16 16:10:47 | 172.16.8.10 | Logout: archie logged out.
2013-08-16 16:10:54 | 172.16.8.10 | Login: rrls log-in successfull.
2013-08-16 16:12:40 | 172.16.8.10 | Logout: rrls logged out.
2013-08-16 16:12:50 | 172.16.8.10 | Login: cob log-in successfull.
2013-08-16 16:13:06 | 172.16.8.10 | Logout: cob logged out.
2013-08-16 16:13:11 | 172.16.8.10 | Login: itd log-in successfull.
2013-08-16 17:00:48 | 172.16.8.10 | Logout: itd logged out.
2013-08-16 17:00:54 | 172.16.8.10 | Login: archie log-in successfull.
2013-08-16 17:01:38 | 172.16.8.10 | Logout: archie logged out.
2013-08-16 17:01:45 | 172.16.8.10 | Login: acc log-in successfull.
2013-08-16 17:04:11 | 172.16.8.10 | Logout: acc logged out.
2013-08-16 17:04:17 | 172.16.8.10 | Login: rrls log-in successfull.
2013-08-16 17:06:35 | 172.16.8.10 | Logout: rrls logged out.
2013-08-16 17:06:41 | 172.16.8.10 | Login: itd log-in successfull.
2013-08-16 17:11:11 | 172.16.8.10 | Logout: itd logged out.
2013-08-16 17:11:20 | 172.16.8.10 | Login: rrls log-in successfull.
2013-08-16 17:26:41 | 172.16.8.17 | Logout: purchasing logged out.
2013-08-16 17:45:59 | 172.16.8.10 | Logout: rrls logged out.
2013-08-16 17:46:05 | 172.16.8.10 | Login: acc log-in successfull.
2013-08-16 17:48:20 | 172.16.8.10 | Logout: acc logged out.
2013-08-16 17:48:27 | 172.16.8.10 | Login: rrls log-in successfull.
