2013-08-19 14:18:51 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-19 14:21:10 | 172.16.8.3 | Logout: rrls logged out.
2013-08-19 14:21:13 | 172.16.8.3 | Login: cob log-in successfull.
2013-08-19 14:22:34 | 172.16.8.10 | Logout: acc logged out.
2013-08-19 14:22:42 | 172.16.8.3 | Logout: cob logged out.
2013-08-19 14:22:45 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-19 14:22:49 | 172.16.8.10 | Login: acc log-in successfull.
2013-08-19 14:23:23 | 172.16.8.10 | Logout: acc logged out.
2013-08-19 14:23:27 | 172.16.8.10 | Login: rrls log-in failed.
2013-08-19 14:23:39 | 172.16.8.10 | Login: rrls log-in successfull.
2013-08-19 14:29:11 | 172.16.8.3 | Logout: rrls logged out.
2013-08-19 14:29:14 | 172.16.8.3 | Login: itd log-in successfull.
2013-08-19 14:30:41 | 172.16.8.3 | Logout: itd logged out.
2013-08-19 14:30:45 | 172.16.8.3 | Login: archie log-in successfull.
2013-08-19 14:31:18 | 172.16.8.3 | Logout: archie logged out.
2013-08-19 14:31:38 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-19 14:32:43 | 172.16.8.3 | Logout: rrls logged out.
2013-08-19 14:32:48 | 172.16.8.3 | Login: archie log-in successfull.
2013-08-19 14:39:45 | 172.16.8.3 | Logout: archie logged out.
2013-08-19 14:39:51 | 172.16.8.3 | Login: itd log-in successfull.
2013-08-19 14:46:11 | 172.16.8.3 | Logout: itd logged out.
2013-08-19 14:46:13 | 172.16.8.3 | Login: itd log-in successfull.
2013-08-19 14:46:17 | 172.16.8.3 | Logout: itd logged out.
2013-08-19 14:46:21 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-19 14:47:31 | 172.16.8.3 | Logout: rrls logged out.
2013-08-19 14:47:36 | 172.16.8.3 | Login: archie log-in successfull.
2013-08-19 15:09:05 | 172.16.8.3 | Logout: archie logged out.
2013-08-19 15:30:37 | 172.16.8.17 | Login: services log-in successfull.
2013-08-19 15:31:08 | 172.16.8.17 | Logout: services logged out.
2013-08-19 15:54:55 | 172.16.8.10 | Login: rrls log-in successfull.
